"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"3014";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,15615842584521;1,92261904761905;2,69940476190476;500;5500;31,0083676827143;645,104263855913;14,8300888917329;31,0083676827143;-1;40,9546744266889;773,230227601499;11,5597871365654;40,9546744266889;-1;50,2847913950433;898,897305676215;11,8118637505135;50,2847913950433;-1
"3015";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,4476771177724;1,94940476190476;2,8422619047619;500;5500;32,006183961189;581,086875839568;8,33494373989296;32,006183961189;-1;40,1943017175451;647,576134434009;9,87826059160007;40,1943017175451;-1;50,2431280065498;822,330316756725;6,06963962495232;50,2431280065498;-1
"3016";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,08786856010556;2,03869047619048;1,98809523809524;500;5500;31,3387799347683;777,737288465912;31,3387799347683;16,350667792053;1;41,006375582087;930,652246380736;41,006375582087;11,12037303921;1;50,8639206979041;1389,13866749132;50,8639206979041;9,277067297102;1
"3017";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,02135316003114;2,0327380952381;1,98511904761905;500;5500;30,379884377099;782,141530380971;23,1301392416549;30,379884377099;-1;40,7290975774317;1542,18033326629;40,7290975774317;13,461311911185;1;51,328667381249;1641,79734167082;51,328667381249;8,55477789687484;1
"3018";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,49303563684225;2,02380952380952;3,38690476190476;500;5500;30,1086320678478;727,580560509091;9,92592265973005;30,1086320678478;-1;41,45770863992;836,235113903915;12,437312591976;41,45770863992;-1;50,0209828970662;999,957229498229;14,4426781604205;50,0209828970662;-1
"3019";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,61399398557842;2,03869047619048;2,45535714285714;500;5500;30,2891741381527;785,104041313383;30,2891741381527;12,3910257837897;1;40,3174198245583;855,256046894606;40,3174198245583;14,9564621929813;1;51,0058473620721;1032,48217325109;51,0058473620721;11,2610312357822;1
"3020";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,2316863508895;1,98214285714286;2,0297619047619;500;5500;31,4814483706712;574,381941174944;31,4814483706712;7,62182434237302;1;42,5775143139176;633,209383191244;42,5775143139176;2,40356935643083;1;50,4456371349863;801,514642698937;50,4456371349863;6,34746427526318;1
"3021";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,72977412771434;1,94642857142857;2,875;500;5500;30,3409200490901;954,032065422899;30,3409200490901;17,045460701736;1;40,5934484963432;1616,65709080644;6,48130690277749;40,5934484963432;-1;50,1689428691263;1704,83833011086;6,88593333497811;50,1689428691263;-1
"3022";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,79047697316855;1,97321428571429;2,31547619047619;500;5500;31,6256808165506;679,523091881952;15,6463894566093;31,6256808165506;-1;40,0718082024087;815,373525220851;9,168973063263;40,0718082024087;-1;50,0467570382885;910,092781924532;7,45377232485147;50,0467570382885;-1
"3023";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,58520782925189;2,01190476190476;2,29464285714286;500;5500;31,4414298094559;784,442740788472;31,4414298094559;14,7172650171921;1;41,5439702455883;1027,23688678213;41,5439702455883;12,6293669546588;1;50,1094646629192;1190,49606322382;50,1094646629192;6,566067783417;1
